id;uuid;status;first_name;last_name;cin;iban;phone_number;email;wallet_holder;created_by;created_date;last_modified_by;last_modified_date
1;d9db4059-a3ba-4bee-a671-6bce55e5f1f3;BLOCKED;Kristoffer;Cormier;anti between;TN6050018006155611500820;swerve;Roderick_Oberbrunner26@yahoo.com;2efe5365-4dd8-46f5-b4bb-06738195028a;hovel until ew;2024-12-08T17:53:54;circa recovery abnormally;2024-12-09T04:26:19
2;113ec6a8-3004-474c-ba0d-dfee58c3bf1f;BLOCKED;Kariane;Kozey;spectate squ;CZ7640060100130022003083;majestically;Titus.Barrows98@yahoo.com;eeda4e63-243f-46df-8df1-dd14e359e118;tattered;2024-12-08T18:16:09;um nauseate icy;2024-12-08T15:59:05
3;91368c25-0d6d-4ed8-a2ea-e6e1b40564e8;ACTIVE;Yasmeen;Orn;hoofXX;LV22ROQWE6LS82749Z1F3;stay extrover;Trisha55@yahoo.com;20d3bc9a-d76c-4ecf-8d91-d2a2b9aafe69;frantically;2024-12-08T15:15:48;vivid what till;2024-12-09T05:34:57
4;18a4723a-74b1-4b73-bd3e-961ba3366c12;BLOCKED;Martin;Adams;where gah wr;EE550253409098557823;amend;Dorothy69@gmail.com;cc8a6ade-86ac-4cad-a02b-08668fcb8c78;bran stir-fry;2024-12-08T17:09:41;worst whitewash aside;2024-12-08T18:10:21
5;e52f0d9d-4b8f-4ba6-bbe7-a33b96213bc6;PENDING;Allene;Bartoletti;aw fooey ami;ES1403009040110030080041;passionate;Opal93@yahoo.com;e45ab0e2-62b2-48f7-b4e4-e1e6c532d55f;difficult phew well-to-do;2024-12-09T08:38:00;drat inculcate cruelly;2024-12-08T13:54:41
6;648268b5-cf4d-40d5-9809-176b3977d55d;BLOCKED;Desiree;Spinka;midst accent;HR4357650611306058001;reclassify so;Serenity.Grant19@yahoo.com;38554076-5ba3-4ce7-9d43-f8f19d4fdfcc;yeast;2024-12-09T07:36:29;emulsify gurn;2024-12-08T23:52:13
7;70582bff-7f1b-4647-9395-65a7b0a3cf6a;ACTIVE;Nicholaus;Breitenberg;bideXX;LB8457763929299PWO61J77819L9;weight;Jenifer.Ward79@hotmail.com;f10e9fb2-986d-480a-b661-94b5a465216a;overload notwithstanding detective;2024-12-09T01:50:42;courageously fray zowie;2024-12-09T12:06:01
8;d5c8c6d8-de68-4a6b-ac81-c14f65e27008;BLOCKED;Brain;Spencer;without;CZ8902709786230595007178;misread final;Ellie_Zemlak1@hotmail.com;27d7169b-0e7f-4bc3-9b12-3604ba151e0d;blindly;2024-12-09T09:35:30;machine;2024-12-09T12:44:51
9;56a011b0-99ab-47ce-900c-1f8ad80395ba;BLOCKED;Novella;Fisher;inside nor f;MT69YJBS270056520613157034K8285;coincide behi;Everette_Parisian4@yahoo.com;affdb4ad-9f37-449d-be40-6c0b7cf14a29;feminize phew;2024-12-09T06:49:22;concerning;2024-12-09T11:12:15
10;1cc5484b-6a38-4804-aede-cfa8cd2d0301;PENDING;Rudy;Renner;lestXX;MD04E8YJ0957C6IQ656888O4;whenever;Antwan_Brekke@yahoo.com;bf9bb001-a83d-46e0-a846-728241116122;until guilt;2024-12-08T19:18:33;oddly phew notwithstanding;2024-12-08T15:44:58
