id;uuid;status;label;masked_pan;card_holder_name;token;expiry_year;expiry_month;rnd;hash;wallet_holder;created_by;created_date;last_modified_by;last_modified_date
1;db41c5f1-6e1f-43d0-9124-af540870851e;BLOCKED;although innocent;untimely;though;colossal swiftly;re;be;flickering;tabletop quicker;447d72b9-54dc-43fe-9a47-6942e83eaba3;suspiciously buttery woot;2024-12-08T23:03:46;boo;2024-12-08T22:49:27
2;15455136-ea85-414a-9ca8-50496b20d5ba;BLOCKED;stigmatize;drat athwart rubric;including gadzooks;blah or even;ov;so;oof;after accidentally;fb5456c4-45f5-418a-8a63-3e1540bbf4a8;strait;2024-12-08T13:22:07;after rout;2024-12-08T21:11:02
3;f6f2658e-fc48-4056-ab0c-438a7744be46;ACTIVE;misspend until boohoo;outlying;because inasmuch;via hence;fo;na;cop entry wrongly;petty bossy trench;84029b30-7b76-4956-afbb-c7148e17c86a;queasily;2024-12-09T09:14:33;youthfully drat unless;2024-12-09T05:23:21
4;58c5071f-9541-4007-8499-3ceadcb83476;BLOCKED;suffocate;wherever;rigidly made-up;bicycle;ti;if;but;floss;7d3d579f-5dd2-4136-a2ce-043ef187d910;delightfully blushing;2024-12-09T12:23:48;barring;2024-12-09T00:00:46
5;559a3c06-4e78-4cf2-a1c6-e9491330afda;ACTIVE;yearly;oh pfft geez;availability swath tattered;with;th;an;tectonics ack;duh far;1e7d7dc2-1cef-4104-b914-59a7e58e53d4;sympathetically;2024-12-08T18:00:03;cutlet;2024-12-09T06:46:00
6;3e424966-4cda-4e86-9d92-3cda696cef51;PENDING;overstay excellent ouch;husband huzzah;now;swear quickly denitrify;to;ah;whistle apropos spec;lovingly;1de357ed-3304-423f-a441-d814837f3cc8;yahoo;2024-12-08T15:15:31;concerning home;2024-12-09T13:00:21
7;1c82e310-d12f-4b4a-91f8-56336b0f5892;DELETED;whereas except playfully;ack unkempt;pity;whether;at;fo;formal excluding sav;limited seldom gently;4ef59e98-6549-4598-bb05-ea83887cbeaf;wearily;2024-12-09T03:12:39;and;2024-12-09T03:49:03
8;e9eb28b2-ed83-4b72-b367-4aecbdaafb57;ACTIVE;aware dazzling;ack;ack;leading construe merry;vo;un;randomize;whenever;bda6760f-2712-438b-978b-07cb3c33437b;thoughtfully quarrelsomely;2024-12-08T18:27:39;when aw;2024-12-08T23:47:15
9;07ef9785-a432-45ec-9fd8-2823fde2a75c;DELETED;vacantly zowie;ha;kinase uh-huh;energetic while;pe;od;coolly thrifty;misspend;4792390b-0d30-4348-bbd6-109d6c8dbd85;because help whereas;2024-12-08T17:17:01;aside aha;2024-12-09T12:31:12
10;863f5fb9-0d3c-4c10-878f-5fd6652cf6c4;ACTIVE;sidetrack spiffy;scuttle finished bleakly;once;ack knavishly fundraising;gu;ov;yowza nor;and;1bbe05b9-6569-4783-97cc-e013e3ff43cb;yuck sharply;2024-12-08T14:26:53;govern enormously gah;2024-12-08T22:00:37
