id;uuid;jhi_user;code;status;expiry;created_date
1;4b59e375-0d86-46b1-bb12-4c171ac1de25;dismal celebrate ew;when scheme;EXPIRED;2024-12-08T13:26:31;2024-12-09T08:04:16
2;ffc0d21a-6ed6-4cbb-b8ca-83932df448ce;till innocently;academics;PENDING;2024-12-09T03:39:10;2024-12-08T15:13:50
3;68d93fb0-2b39-4d1e-90c4-ee04c01335a1;terribly clearly;nor tempting;REJECTED;2024-12-08T23:05:11;2024-12-09T05:55:26
4;a258a499-be61-4e3a-a290-1d6900de09d7;eek whose;certify full;REJECTED;2024-12-09T00:26:32;2024-12-08T21:13:04
5;c48b0f82-5b96-4659-8328-7878317a6662;essence before beep;inure;VALID;2024-12-08T22:36:21;2024-12-09T04:37:14
6;60ae3f8c-6da1-4e79-810f-87917a7d1b89;bracelet savour after;indeed miles;REJECTED;2024-12-08T16:41:28;2024-12-09T02:06:00
7;983a5502-00f4-4929-81d7-cab9835509e8;near;vamoose over;PENDING;2024-12-09T03:40:57;2024-12-09T09:53:06
8;31138843-5756-4223-b650-074927edff05;represent glow zowie;accept;REJECTED;2024-12-09T08:29:41;2024-12-09T07:26:42
9;fbd86711-0ce5-44b1-9521-874c0e089b69;after bravely regarding;until;EXPIRED;2024-12-08T22:00:17;2024-12-09T06:17:28
10;7e0df9f1-d4d2-4cc1-80ec-53b70d256b71;meanwhile;without outf;PENDING;2024-12-09T11:51:45;2024-12-09T06:27:54
