id;uuid;status;first_name;last_name;phone_number;wallet_holder;created_by;created_date;last_modified_by;last_modified_date
1;4922121c-ac99-4c20-baa5-95ae990aacb4;BLOCKED;Deja;Bartell;meaty for dev;50841756-d00e-4cef-91f2-a5c524b5aff7;kindheartedly;2024-12-09T00:32:18;towards climb mainstream;2024-12-09T10:38:55
2;eb84948b-b7f8-44ec-8d61-a1198e59b150;BLOCKED;Reba;Sauer;atop corny;6b1fa4a8-58fa-43cc-a3ae-e575bb00b9d8;lest;2024-12-09T12:52:16;thread;2024-12-09T10:44:55
3;ae6b90ee-221b-46af-ab50-5ff3e8274f65;BLOCKED;Shea;Goyette;degenerate me;6f2ab905-a4d7-49e0-b32a-8a438ae825c4;yieldingly flame shampoo;2024-12-09T12:38:05;brr;2024-12-09T12:02:01
4;8a3a7277-8aea-4a10-bfbe-261120557407;BLOCKED;Deon;Rohan;sugary;d58d1afc-667d-47f4-a169-3df641f2d4c9;neaten tight valuable;2024-12-09T12:53:17;loosely yeast;2024-12-08T18:46:38
5;b45755d8-2c95-4d72-8c0c-48e3d87ae67c;DELETED;Destin;Klocko;forenenst sof;8805706b-92d5-45b9-b876-e3751ddd2855;dwell;2024-12-08T14:31:29;plan gigantic;2024-12-08T20:41:34
6;442840ff-a2eb-4626-ad43-8d78a35a13c5;ACTIVE;Julius;Haag;poetry off;0b1b7822-32f4-4f4a-8a92-c7c3196239ce;until;2024-12-08T21:54:02;steeple till obedience;2024-12-09T09:57:58
7;4ae083a0-6f7c-4afc-b79e-538743260080;ACTIVE;Vada;Hamill;nougat trek;1a56e250-83cd-4acf-90fc-71b9d953cbe5;boo portly;2024-12-08T21:01:13;how;2024-12-09T08:09:18
8;8b6eab58-c312-447d-b3e3-3b6eb5dfdc16;BLOCKED;Wiley;Hagenes;championship ;2e5476d4-3e1c-48d9-b5eb-adf2526f0696;produce zowie;2024-12-08T17:38:44;bitterly profane trusty;2024-12-08T14:32:16
9;b370a274-90ee-431b-9248-c94b29eccc75;PENDING;Lorine;Medhurst;as nimble;b5fe691d-6dd8-4fc8-9d98-dd8c59532790;browse;2024-12-08T19:59:42;what;2024-12-09T04:00:49
10;4d24bdc9-bfe7-4955-8a40-dd3fe368e5c5;DELETED;Megane;Vandervort;unfortunately;3e20750b-6b86-4748-bc16-e41e7a30939c;for;2024-12-08T15:56:03;readily;2024-12-09T10:11:16
