id;uuid;type;status;level;iban;currency;balance;balances_as_of;external_id;wallet_holder;created_by;created_date;last_modified_by;last_modified_date
1;dce73977-4488-4373-ac20-1cd3ac7bce9c;SAVINGS;PENDING;TWO;TN6249804077854409007432;duh;20496.03;2024-12-09T06:05:38;less;d6c6f7b7-c291-4397-bd5a-a257ee191d15;huzzah essential;2024-12-08T14:00:21;important famously micromanage;2024-12-08T20:47:42
2;a81371dc-0ded-4cde-99ca-dbc5832b2188;PRIMARY;PENDING;THREE;GB24MHAT70205999003248;hea;26985.68;2024-12-08T22:28:04;pacemaker gerbil;7ca840b5-927c-4387-98a0-60b4790e0e6c;wombat;2024-12-09T06:36:26;categorise furthermore throughout;2024-12-09T00:02:27
3;3ab28fa7-aa40-4b28-ad19-77c4735dbff8;PRIMARY;REJECTED;ONE;XK091615896707860190;fol;24474.16;2024-12-09T08:12:25;purse;ad0ee7e0-f58c-4684-9c75-6075628d01d4;upwardly hm;2024-12-08T18:59:40;petty toothbrush;2024-12-08T17:31:58
4;6bcb1734-86b4-448e-b723-234718fe9fca;SECONDARY;CLOSED;ONE;JO55LZLN6360048034084031900361;imp;8438.91;2024-12-09T04:15:43;when;be152222-6012-49eb-a40c-6d05802a8cce;dearly woot home;2024-12-08T17:24:36;hole massage energetic;2024-12-08T15:59:23
5;98217e46-06a3-4b59-9c32-9bea41bb6851;SECONDARY;CLOSED;TWO;DK6351590040090930;con;15419.13;2024-12-09T03:51:40;forenenst;83fcf76b-36c5-4f6b-9581-d84854ba0511;bah;2024-12-09T00:01:40;repeatedly brr;2024-12-09T07:55:24
6;82bd9f3d-9bc6-4314-81d6-86e4dfe7869c;PRIMARY;PENDING;THREE;MU76EFNE0014092906272070867KYW;aft;13123.23;2024-12-09T00:27:58;recommendation;7da9606e-9909-45be-86fa-7619b55db296;soon knitting;2024-12-08T19:56:23;whenever while;2024-12-09T02:23:03
7;dba124d7-fd66-435f-8eb5-f23dd975fbc5;SAVINGS;ACTIVE;THREE;GR5608015914C2928YA20K72184;stu;2786.4;2024-12-09T02:50:46;reorganisation against mortally;cd916f1a-4179-45db-977c-9e94330172ba;plus unique ew;2024-12-08T22:52:03;cheerfully happy-go-lucky whispered;2024-12-08T14:05:48
8;022704f0-b9bb-4a9f-8766-7989383014c8;PRIMARY;BLOCKED;THREE;AE450059860400134860503;pas;5633.28;2024-12-08T19:28:39;whereas which;10b683e6-469b-40a6-9092-dbc70d32ed36;woot;2024-12-09T02:25:44;puritan by standard;2024-12-09T02:05:36
9;86384fcf-cd8a-41a6-8b15-270883851b71;SAVINGS;REJECTED;THREE;SM74A2841044043274TH8E3E01H;beh;28082.17;2024-12-09T08:04:31;lest athwart;7a2f152f-78aa-431b-844a-a369624a0d96;athwart elegant;2024-12-08T15:42:00;awesome;2024-12-08T21:50:48
10;ef0623a2-50d2-46f4-a0c2-5628786f5341;PRIMARY;PENDING;ONE;BR9318600440026353332700420W0;gos;27553.83;2024-12-08T14:17:52;natural outside;9865dbda-dcb8-4afe-9243-b361a8b8514f;huzzah;2024-12-08T15:12:32;categorise;2024-12-08T17:11:28
