id;uuid;type;status;phone_number;network;tag;first_name;last_name;address;city;country;postal_code;onboarding;external_id;email;date_of_birth;sex;created_by;created_date;last_modified_by;last_modified_date;login_status
1;285b470e-7149-4198-b1b5-fcb859454db9;AGENT;REJECTED;slowly;ORANGE;violently needy;Sandrine;Lowe;ha bleakly yahoo;West Guillermobury;Chad;calculating hopelessly;CONFIRM_OTP;onto;Meagan.McKenzie@hotmail.com;2024-12-09;F;indeed;2024-12-09T04:54:11;quirkily gah bulky;2024-12-08T14:05:49;LOGIN_UNLOCKED
2;e452e553-f5a1-4843-b263-88d03c190a0d;INTERNAL;BLOCKED;usefully;OTHER;ack;Dallin;Roob;yowza indeed;Mariannachester;Venezuela;since um;ACTIVATE_CUSTOMER_PARTNER_SIDE;gosh after;Darrel39@gmail.com;2024-12-08;M;frail viability frenetically;2024-12-08T17:43:05;even um;2024-12-09T08:25:28;DEVICE_FLAGGED
3;2f298612-ce42-4e98-b3ac-a2e3067b4a92;INTERNAL;PENDING;a um;ORANGE;vibration;Cary;Lesch;gee who;Harberland;San Marino;bah;CONFIRM_OTP;until;Johnnie75@gmail.com;2024-12-09;F;except wonderfully skyline;2024-12-09T05:44:05;preclude storyboard;2024-12-09T04:38:50;LOGIN_LOCKED_FULL
4;10e454d6-0020-4647-8285-109cc2ec81c0;AGENT;PENDING;pfft;IAM;meanwhile;Arlene;Shanahan;effector;New Godfreyfort;Montenegro;gloomy boohoo substantial;SET_PASSWORD;where;Isabell96@gmail.com;2024-12-09;M;intensely;2024-12-08T18:10:13;reluctantly version;2024-12-09T10:47:44;LOGIN_DEVICE_LOCKED
5;6cca651f-1c09-4ca4-bcee-08914c53975b;MERCHANT;CLOSED;mom;INWI;vivid amid;Juwan;Bernhard;yowza;North Kassandraburgh;Japan;quixotic;CREATE_INTERNAL_WALLET;yahoo;Austyn.Abbott@hotmail.com;2024-12-08;M;blowgun aside;2024-12-08T18:24:23;likewise incidentally;2024-12-08T19:14:02;LOGIN_UNLOCKED
6;45410509-3ac2-4200-8593-1f20c6e2f1ac;AGENT;PENDING;opposite typewriter;OTHER;sadly er;Guadalupe;Dibbert;requite shear clearly;Monterey Park;Niue;partially;SET_PASSWORD;libel consequently;Susie33@yahoo.com;2024-12-08;F;loftily bleakly;2024-12-09T00:05:24;tapioca loyally except;2024-12-08T21:32:19;LOGIN_LOCKED
7;6c33a6bc-55d6-403c-ae15-6e544103f67a;MERCHANT;BLOCKED;celebrate cruelly;OTHER;onto huzzah;Nickolas;Schneider;outset;El Paso;Greece;ouch daintily subtract;PERSONAL_INFO;which indeed fortunate;Cathryn_Wisozk@yahoo.com;2024-12-09;F;huzzah;2024-12-09T10:45:06;frank;2024-12-09T08:31:32;LOGIN_LOCKED
8;91d2da79-ec93-4770-a264-da0eac03ba0f;INTERNAL;CLOSED;but understanding fencing;IAM;harmful hm sweetly;Kaia;Bauch;athletic upliftingly if;Benjaminfield;Benin;skeletal wherever;PENDING;think willing wrathful;Ethyl.Hilpert72@gmail.com;2024-12-08;F;actual atop;2024-12-09T00:15:05;amidst;2024-12-09T06:14:33;LOGIN_LOCKED
9;47e8d917-1d0f-46b1-8a91-6c22e2acf3f7;CUSTOMER;BLOCKED;lazily capitalise;OTHER;daintily superb row;Allie;Jacobi;gah pish aha;West Daniela;Romania;if midst;PENDING;facilitate rosin restaurant;Vern4@hotmail.com;2024-12-08;F;ouch;2024-12-09T12:21:57;print boo;2024-12-08T17:10:28;LOGIN_LOCKED_FULL
10;8b24de1d-1523-4f3a-ba0c-ee8acf0a6454;CUSTOMER;PENDING;crest institutionalize;IAM;so;Kailee;Parisian;babyish pish;Decatur;Guadeloupe;above bore;ACTIVATE_CUSTOMER_PARTNER_SIDE;scare;Narciso.Skiles-Lehner61@hotmail.com;2024-12-09;F;absent pure trench;2024-12-09T01:02:12;meanwhile;2024-12-08T13:27:45;LOGIN_UNLOCKED
